address,suburb,postcode,state,orientation,gnaf_pid,property_centroid_x,property_centroid_y,property_area,property_perimeter,nearest_point_x,nearest_point_y,angle_to_road,road_id,distance_to_road
4 THE BATTLEMENT,CASTLECRAG,2068,NSW,Southeast,GANSW704346907,334984.91217807296,6258355.654006215,620.7864942290064,118.45403527090778,335002.61007150996,6258342.144088784,-37.35677556977173,149,8.177924685128321
13 THE BATTLEMENT,CASTLECRAG,2068,NSW,East,GANSW704358107,335059.46838884964,6258370.255663209,786.1132101115045,122.8914394731882,335086.6502643712,6258359.840502616,-20.965115552960825,81,6.203597193673426
11 THE BATTLEMENT,CASTLECRAG,2068,NSW,Northwest,GANSW704358105,335048.4157348455,6258355.756818906,792.722580704439,123.23796629717583,335026.04024261906,6258372.837442288,142.6432244302115,149,6.491675091601381
93 THE BULWARK,CASTLECRAG,2068,NSW,West,GANSW704360758,335109.23550867377,6258348.160468445,624.1862053799076,103.68161896682147,335085.3262141343,6258355.565315381,162.7919441912932,81,7.071922781074227
15 THE BATTLEMENT,CASTLECRAG,2068,NSW,Southeast,GANSW704358109,335070.51471751067,6258384.855652821,798.2923578828672,123.42616232759359,335093.35987811437,6258370.571217737,-32.01658110382509,81,4.54558145080695
17 THE BATTLEMENT,CASTLECRAG,2068,NSW,Northeast,GANSW704358111,335080.74282815045,6258398.271891516,660.9832959121076,117.05174925349226,335085.4232933411,6258404.100389989,51.23445442480595,146,0.0
19 THE BATTLEMENT,CASTLECRAG,2068,NSW,Southeast,GANSW704358113,335092.1017018936,6258414.411013843,759.985157276289,120.05283286870257,335112.49017543567,6258404.049136951,-26.940692736165488,81,2.249147188696079
12 THE BATTLEMENT,CASTLECRAG,2068,NSW,Southeast,GANSW704358106,335025.9105549156,6258417.448568693,674.5895991088549,110.62650167308962,335047.5088824483,6258400.961204101,-37.35677556989292,149,8.725803746715147
10 THE BATTLEMENT,CASTLECRAG,2068,NSW,Southeast,GANSW704358104,335013.3661845189,6258403.891203454,745.5426664237812,117.79496937779311,335036.35147549486,6258386.345082255,-37.35677557013018,149,8.692656684351597
156 EDINBURGH ROAD,CASTLECRAG,2068,NSW,Northwest,GANSW704357446,334979.10303777276,6258430.896184875,849.7243996752509,130.99105619075186,334974.3568259625,6258438.397386071,122.32263792955064,148,0.0
158 EDINBURGH ROAD,CASTLECRAG,2068,NSW,West,GANSW704360681,334992.79995023215,6258443.277425072,836.7022387445483,130.40680284027474,334974.3568259625,6258438.397386071,-165.17922345586538,148,6.258440096757091
16 THE BATTLEMENT,CASTLECRAG,2068,NSW,Southeast,GANSW704358110,335048.7626519092,6258446.263022094,645.6450321961329,107.1953670068699,335069.83824894717,6258430.360514978,-37.03623228790815,149,8.738930200106216
14 THE BATTLEMENT,CASTLECRAG,2068,NSW,Southeast,GANSW704358108,335037.6825869268,6258431.677110149,647.5260771746835,107.26909023787047,335058.7056466859,6258415.628883704,-37.356775569025366,149,8.776850725048408
21 THE BATTLEMENT,CASTLECRAG,2068,NSW,Southeast,GANSW704346895,335102.57766250137,6258429.47839463,730.6788159950123,116.68644881818977,335120.1247784986,6258416.018653302,-37.490474379123,81,2.0233927634050155
18 THE BATTLEMENT,CASTLECRAG,2068,NSW,Southeast,GANSW704358112,335059.8103154595,6258460.889151267,649.4210794572082,107.43686349531269,335080.878535819,6258444.992210194,-37.03623228836742,149,8.687275421763847
20 THE BATTLEMENT,CASTLECRAG,2068,NSW,Southeast,GANSW704346894,335070.8794613577,6258475.435085288,643.337427921213,107.12902703631997,335091.8880580457,6258459.583133017,-37.036232288759486,149,8.636244818173134
22 THE BATTLEMENT,CASTLECRAG,2068,NSW,Southeast,GANSW704344300,335081.8370666164,6258490.006921751,647.4758431262696,107.39903306677147,335102.86956853856,6258474.136931881,-37.03623228897032,149,8.605989642469805
